name,phone,fsa,ai_reputation_score,bbb_rating,reviews_source,website
Barney's Plumbing Heating and Gas,,,70.0,,,
Ian Tate Plumbing & Heating Ltd,,,70.0,,,
McPhee's Plumbing&Heating Ltd,,B1A,70.0,,,
P W Plumbing & Heating Ltd,,,70.0,,,
Michael A Josey Building Services Ltd,,B2V,70.0,,,
Andrew Selig's Plumbing & Heating,,,70.0,,,
Edgecombe's Plumbing & Heating Ltd,,,70.0,,,
Duke's Plumbing & Heating Services,,,70.0,,,
Campbell's Plumbing and Heating Ltd,,,70.0,,,
New Waterford Consolidated Hospital Diabetic Education,,,70.0,,,
Pettipas Heat Pump & Plumbing Service,,,70.0,,,
R F Welsh Plumbing & Heating,,,70.0,,,
Leaky Lou's Plumbing and Heating,,,70.0,,,
Jay's Chimney Sweep & Plumbing,,,70.0,,,
C & M Plumbing & Heating,,,70.0,,,
P W Plumbing & Heating Ltd,,,70.0,,,
Dillman M W Plumbing (2000) Ltd,,,70.0,,,
Parsons & Sons Plumbing & Heating,,,70.0,,,
K P's Plumbing And Heating,,,70.0,,,
Bray's Plumbing & Heating Ltd,,,70.0,,,
Trevor Whynot's Plumbing & Heating,,,70.0,,,
Ellis O Wile & Son Ltd,,,70.0,,,
J D Nelson Plumbing & Heating Ltd,,,70.0,,,
St Margaret's Bay Plumbing & Heating,,B0J,70.0,,,
Paul The Plumber Plumbing & Heating Solutions,,,70.0,,,
B A S S Plumbing & Heating,,,70.0,,,
Boudreau's Pat Plumbing & Heating Ltd,,,70.0,,,
New Waterford Consolidated Hospital Patient Rooms Only,,,70.0,,,
A.R. Langille's Plumbing And Heating,,,70.0,,,
Two Brother Plumbing & Heat Pump Installation,,,70.0,,,
Baxter G C Plumbing & Heating Ltd,,,70.0,,,
New Waterford Consolidated Hospital Mental Health Services Physiotherapy,,,70.0,,,
MacDonell's Small Jobs Renovations Plumbing & Mi ni Excavting,,,70.0,,,
Aqualab Plumbing Services,,,70.0,,,
ProTech Renos,,,70.0,,,
LMB Plumbing and Heating Inc,,,70.0,,,
CCR Plumbing & Heating,,,70.0,,,
Mike Bourque's Plumbing & Heating Services,,,70.0,,,
Darrin Rix Plumbing & Heating,,B2Z,70.0,,,
Those Guys Plumbing & Electrical,,,70.0,,,
DG Plumbing and Heating,,B3K,70.0,,,
Falcon Plumbing & Heating,,,70.0,,,
Eric J Dodge Plumbing Services,,,70.0,,,
EDC Plumbing & Gas Services,,,70.0,,,
Riverfront Contractors Limited,,B0E,70.0,,,
Drummond's Plumbing & Heating Ltd,,,70.0,,,
Pothier Plumbing & Heating,,,70.0,,,
Otter Plumbing and Heating,,,70.0,,,
Bickerton's Plumbing & Heating,,,70.0,,,
B.A.S.S Plumbing & Heating,,,70.0,,,
K M Best Plumbing & Heating Ltd,,,70.0,,,
True Flow Plumbing Solutions,,B0N,70.0,,,
Plumbing Ursule,,,70.0,,,
TR Plumbing and Renovations,,,70.0,,,
Maple Leaf Plumbing,,,70.0,,,
Island Wide Plumbing & Heating LTD.,,,70.0,,,
A1 Plumbing & Heating,,,70.0,,,
King Fix Plumbing,,,70.0,,,
Ellis O Wile & Son (87) Ltd,,,70.0,,,
Certified Plumbers,,,70.0,,,
Classic Plumbing & Heating Limited,,,70.0,,,
Gould W M Plumbing & Heating,,,70.0,,,
Cove Lobster Ltd,,,70.0,,,
Down The Drain Plumbing,,,70.0,,,
Mechanical Flood Protection,,,70.0,,,
ZMP Plumbing & Excavation,,,70.0,,,
Drainbusters,,,70.0,,,
R&M Plumbing LTD,,,70.0,,,
"Bird Stairs (Halifax) - Plumbing, Heating & Elec trical",,B3K,70.0,,,
Oceanside Plumbing Inc,,,70.0,,,
Blades and Son Electrical and Plumbing,,,70.0,,,
Mainline Plumbing And Heating,,,70.0,,,
Plumber for hire,,,70.0,,,
Cape Breton Plumber,,,70.0,,,
